network_frequency,rn_w_tracker_outstanding,share_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_r_tracker_outstanding,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,eject_queues_len,inject_queues_len,Topo
2,64,64,48.60999852,218.9349902,10996,28,64,48.38805525,2482.56175,14299,33863,96.99805377,8,2,9x4
2,44,64,35.43865721,10191.32534,20203,32,64,55.72789116,873.2175663,7090,46392,91.16654836,8,2,5x4
2,44,64,35.38431635,10487.98895,21136,32,64,55.89881793,858.8847952,18263,60000,91.28313429,8,2,4x5
2,24,64,49.06970145,243.649375,3870,32,64,48.83972178,2258.173887,15260,33560,97.90942323,8,2,4x9
2,48,64,35.63908466,10116.93982,20233,32,64,55.6590488,888.3985065,7118,60000,91.29813346,8,2,5x4
2,68,64,49.85999621,148.3417773,3182,28,64,48.73260425,2404.612226,15059,33625,98.59260046,8,2,9x4
2,48,64,35.36293195,10474.72646,21167,32,64,56.09018604,823.84593,16293,46490,91.45311799,8,2,4x5
2,28,64,49.11530755,254.9804199,5554,32,64,48.88535262,2249.416795,12673,33529,98.00066017,8,2,4x9
2,52,64,35.95190029,10251.37872,20512,32,64,56.53396535,837.2618075,6586,45732,92.48586564,8,2,5x4
2,52,64,35.63520891,10497.57316,20891,32,64,56.55762056,820.536991,16368,46136,92.19282947,8,2,4x5
2,72,64,49.24024816,143.8416992,3684,28,64,48.0483441,2598.359119,13512,34099,97.28859226,8,2,9x4
2,56,64,35.99297012,10274.24768,20566,32,64,56.95080931,782.2621626,6434,45680,92.94377943,8,2,5x4
2,32,64,49.31342276,232.1112598,3216,32,64,49.08358046,2301.777758,13050,33395,98.39700322,8,2,4x9
2,56,64,35.82455066,10410.72145,20668,32,64,56.23798627,813.0337062,14240,45893,92.06253693,8,2,4x5
2,24,64,49.65149403,263.3807031,7728,32,64,49.394482,2302.97236,11972,33156,99.04597603,8,2,9x4
2,60,64,36.11356022,10117.0692,20280,32,64,56.59511514,834.913224,6644,45528,92.70867536,8,2,5x4
2,60,64,35.93534095,10344.99629,20430,32,64,56.30045123,817.2286044,18058,45752,92.23579218,8,2,4x5
2,36,64,49.72874286,231.8025195,5329,32,64,48.6303292,2310.804983,15008,33703,98.35907206,8,2,4x9
2,28,64,46.99221746,469.2133203,9527,32,64,46.12848733,2617.844875,13131,35480,93.12070479,8,2,9x4
2,64,64,35.83081835,10122.43584,19597,32,64,56.53002474,848.5633681,6666,45886,92.3608431,8,2,5x4
2,64,64,36.0214581,10384.08522,20410,32,64,56.40421463,825.6049164,9251,45643,92.42567272,8,2,4x5
2,40,64,50.16986561,243.1905664,4394,32,64,49.11776641,2288.163234,14308,33372,99.28763201,8,2,4x9
2,68,64,36.22134282,10114.68217,20008,32,64,56.68807885,827.1955394,6781,45393,92.90942167,8,2,5x4
2,32,64,46.31689697,615.4251172,10982,32,64,44.63445239,2883.260377,14848,36657,90.95134937,8,2,9x4
2,68,64,36.25661112,10252.33581,19994,32,64,55.82570986,858.9132931,13252,45348,92.08232098,8,2,4x5
2,44,64,48.92608278,293.8553223,8525,32,64,48.6960281,2262.501381,13311,33658,97.62211088,8,2,4x9
2,72,64,36.51518866,10094.8869,19587,32,64,57.20791451,799.8004656,6328,45029,93.72310317,8,2,5x4
2,72,64,36.32815965,10284.77371,19882,32,64,56.40029208,833.7474452,15654,45259,92.72845173,8,2,4x5
2,48,64,49.29858287,246.900332,3294,32,64,49.06873185,2262.540878,13060,33405,98.36731472,8,2,4x9
2,36,64,46.11528935,508.3344271,10017,32,64,45.85936837,2563.783004,13193,60000,91.97465772,8,2,9x4
2,24,64,34.10917267,10964.11825,21992,36,64,55.79306549,859.558791,7015,48194,89.90223816,8,2,5x4
2,24,64,34.52170249,11240.54837,22081,36,64,56.83108511,788.3932785,6517,47619,91.35278759,8,2,4x5
2,52,64,49.41159053,235.1972559,2888,32,64,49.18180716,2282.571398,15041,33329,98.59339768,8,2,4x9
2,28,64,33.32790887,10961.74208,22989,36,64,55.05077383,880.836194,7331,49320,88.37868269,8,2,5x4
2,40,64,47.39095222,256.8510059,10259,32,64,49.18031594,2525.493263,12735,34730,96.57126816,8,2,9x4
2,28,64,34.53625632,11163.17704,22340,36,64,56.34347645,810.4717093,6175,47599,90.87973277,8,2,4x5
2,32,64,33.85753549,10845.74452,22092,36,64,55.87763539,836.8841639,6452,48551,89.73517088,8,2,5x4
2,56,64,49.61962156,211.1432324,2543,32,64,49.38996985,2257.842359,15150,33190,99.00959142,8,2,4x9
2,32,64,34.33001572,11166.6198,22627,36,64,56.4061761,807.571733,6662,47884,90.73619182,8,2,4x5
2,44,64,42.02749846,362.8255664,11049,32,64,41.77869359,4091.607096,18104,39142,83.80619205,8,2,9x4
2,36,64,33.96562804,10936.16337,22401,36,64,56.60301508,796.6450245,6128,48397,90.56864312,8,2,5x4
2,60,64,50.16161209,229.9475879,3165,32,64,48.9694774,2307.665848,13125,33472,99.13108949,8,2,4x9
2,36,64,34.35016877,11232.66049,22414,36,64,56.2048581,825.3330966,6168,47856,90.55502688,8,2,4x5
2,48,64,43.21130921,339.1149219,8535,32,64,42.9604831,3762.581518,17110,38074,86.17179231,8,2,9x4
2,40,64,34.38693699,10915.13878,21814,36,64,57.40024064,750.3953204,5670,47806,91.78717763,8,2,5x4
2,40,64,34.74793748,11080.67778,21909,36,64,56.37089039,823.8295356,6647,47310,91.11882786,8,2,4x5
2,64,64,49.32975695,228.7238281,2466,32,64,49.09992432,2295.982905,15347,33384,98.42968128,8,2,4x9
2,44,64,34.36674078,10768.51108,21388,36,64,56.65837641,823.9233941,5247,47834,91.0251172,8,2,5x4
2,52,64,49.64547603,210.939209,6571,32,64,49.41404417,2449.424302,12321,33160,99.05952021,8,2,9x4
2,44,64,34.82030901,11086.12991,21971,36,64,56.75551979,788.2058574,7081,47212,91.5758288,8,2,4x5
2,68,64,49.92078364,228.5524609,3331,32,64,49.08655126,2306.535265,13052,33393,99.0073349,8,2,4x9
2,48,64,34.47521252,10810.59433,21240,36,64,57.08710801,783.8315479,5033,47684,91.56232054,8,2,5x4
2,48,64,35.16147309,10799.24368,21278,36,64,55.94260882,861.5534402,6973,60000,91.1040819,8,2,4x5
2,72,64,49.32233098,242.9037695,4349,32,64,49.09249395,2245.888465,15024,33389,98.41482492,8,2,4x9
2,56,64,50.03206401,202.6115527,4295,32,64,49.7978632,2439.502436,12068,60000,99.8299272,8,2,9x4
2,52,64,34.85215912,10726.18635,20885,36,64,56.94481112,809.3764007,5879,47170,91.79697024,8,2,5x4
2,52,64,35.38278804,10941.79352,21278,36,64,57.07907239,777.6902719,5869,46464,92.46186042,8,2,4x5
2,24,64,49.81728936,334.4780859,7051,36,64,49.55444214,2145.385673,14283,33059,99.37173149,8,2,4x9
2,56,64,35.27233584,10661.19114,20865,36,64,56.91284211,828.3456439,5941,46610,92.18517795,8,2,5x4
2,60,64,49.48652894,239.1376465,8156,32,64,49.79174853,2425.01093,12074,33266,99.27827746,8,2,9x4
2,56,64,35.41720709,10826.99266,20896,36,64,56.56353745,820.2579309,6633,46419,91.98074454,8,2,4x5
2,60,64,34.73541384,10642.9554,21307,36,64,56.37284955,886.240481,6245,47328,91.10826339,8,2,5x4
2,28,64,50.16203182,411.1814844,9372,36,64,49.9327669,2142.588798,11724,32833,100.0947987,8,2,4x9
2,64,64,46.94824918,296.0621875,11875,32,64,49.72915964,2467.553829,11854,35060,96.67740882,8,2,9x4
2,60,64,35.53319309,10796.07763,20875,36,64,56.61486911,811.4015645,6634,46268,92.1480622,8,2,4x5
2,64,64,35.26439948,10674.63943,20975,36,64,57.56116257,775.6441663,4965,60000,92.82556205,8,2,5x4
2,32,64,49.3698959,312.8503809,5749,36,64,49.10438363,2224.021958,12237,33357,98.47427953,8,2,4x9
2,64,64,35.39425362,10830.34972,21237,36,64,57.18371232,809.4795612,6323,60000,92.57796594,8,2,4x5
2,68,64,50.28389037,233.2498828,7124,32,64,50.05295316,2397.37207,11646,32741,100.3368435,8,2,9x4
2,68,64,34.93315708,10689.50855,21732,36,64,56.56353745,818.9933909,5243,60000,91.49669453,8,2,5x4
2,36,64,48.9641037,348.6735352,7384,36,64,48.73406844,2221.706962,12779,33632,97.69817214,8,2,4x9
