rn_w_tracker_outstanding,rn_r_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,share_tracker_ostd,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,TotalBandWidth,FinishCycle,eject_queues_len,inject_queues_len,sdma-R-DDR_thoughput,sdma-W-l2m_thoughput,gdam-R-L2M_thoughput,sdma-R-DDR_finish_cycle,sdma-W-l2m_finish_cycle,gdam-R-L2M_finish_cycle,sdma-R-DDR_avg_latency,sdma-W-l2m_avg_latency,gdam-R-L2M_avg_latency,cir_h_total,cir_v_total,Topo
72,16,59.74451598,602.7410431,6834,1000,1000,38.61589453,7233.207642,14872,98.36041051,54320,8,5,308.8589102,477.7927892,0,27160,17557,0,401.7313843,163.5561523,0,83045,337,9x4
20,20,45.68224733,3669.484955,13200,1000,1000,56.75340983,3144.952408,6234,102.4356572,45942,8,5,112.9297695,92.93591496,114.1090154,18482,22673,18291,497.4371397,137.1357065,187.8758739,36288,587,4x5
20,20,45.49197907,3684.815765,13320,1000,1000,56.58191237,3258.515213,6411,102.0738914,46134,8,5,112.5886288,91.72627547,113.9470437,18538,22972,18317,506.7756654,136.1826024,180.2756041,37381,502,5x4
80,16,66.22306429,780.3476105,4209,1000,1000,39.98840668,6560.492188,13940,106.211471,52456,8,5,319.8340705,529.5838384,0,26228,15840,0,388.0823364,140.9593506,0,7,952,4x9
24,20,45.91026839,3713.94072,12991,1000,1000,56.54834709,3099.665283,6428,102.4586155,45714,8,5,112.521861,92.83764374,113.8848693,18549,22697,18327,505.2940022,137.330458,179.970563,38111,590,4x5
76,16,61.24502073,583.6208649,6200,1000,1000,38.57185948,7208.36084,14903,99.81688022,54382,8,5,308.5067853,489.788521,0,27191,17127,0,401.1182861,163.8215942,0,82288,333,9x4
24,20,45.62261775,3577.55603,13186,1000,1000,56.278231,3403.575943,6485,101.9008487,46002,8,5,111.9845477,91.79020735,113.0582309,18638,22956,18461,486.6749663,136.5662738,204.6635594,36393,702,5x4
84,16,67.28542094,777.7507629,4059,1000,1000,40.00518866,6556.564468,13929,107.2906096,52434,8,5,319.9682649,538.0762027,0,26217,15590,0,388.0014954,141.092865,0,27,803,4x9
28,20,46.01907476,3745.987137,13017,1000,1000,57.27419707,2978.975357,6121,103.2932718,45606,8,5,114.0653623,93.80892173,114.6732597,18298,22462,18201,469.5637189,137.0692504,211.8759966,37092,540,4x5
28,20,45.64446384,3603.657532,13152,1000,1000,56.49959588,3299.056381,6570,102.1440597,45980,8,5,112.4248855,92.66209323,113.6059221,18565,22740,18372,524.7938182,136.1308468,162.2852938,36438,604,5x4
80,16,59.15468803,586.5429077,7073,1000,1000,38.6087853,7245.246887,14877,97.76347333,54330,8,5,308.8020615,473.0773742,0,27165,17732,0,401.79245,164.2394714,0,83564,260,9x4
32,20,45.83601245,3732.071609,13107,1000,1000,57.13999237,3051.10611,6252,102.9760048,45788,8,5,113.8724426,92.73141751,114.5851222,18329,22723,18215,497.5648228,137.2948609,183.3809641,37101,750,4x5
32,20,45.60079255,3631.308243,13177,1000,1000,56.49655172,3321.600052,6464,102.0973443,46024,8,5,112.4188301,92.52375516,114.2464284,18566,22774,18269,496.3211088,136.5171911,192.0152091,37119,571,5x4
88,16,66.95887612,778.328125,4145,1000,1000,39.99755874,6557.589523,13934,106.9564349,52444,8,5,319.9072535,535.4658496,0,26222,15666,0,388.0022278,140.9112244,0,8,757,4x9
