network_frequency,rn_r_tracker_outstanding,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_w_tracker_outstanding,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,Topo
2,48,48.83002701,423.9467773,4657,68,48.75499504,1736.563864,9359,21632,97.58502205,9x4
2,72,48.80048401,118.2801208,2232,28,48.41652986,1732.078141,5877,21645,97.21701387,9x4
2,36,48.89765849,117.3233185,1986,28,48.33264656,1754.173255,5735,21683,97.23030505,9x4
2,52,48.66685232,404.5894775,4706,64,48.50526316,1723.095331,9304,21704,97.17211547,9x4
2,48,48.65781903,115.4835205,1711,28,48.27839102,1761.790303,5809,21708,96.93621005,9x4
2,68,48.65104626,121.4922333,2259,28,48.27161764,1754.553478,5675,21711,96.9226639,9x4
2,56,50.00995766,107.9951782,1825,28,48.1410382,1765.657645,5661,21769,98.15099585,9x4
2,52,48.49803432,467.1126862,4880,72,48.39836827,1737.107887,9535,21779,96.89640258,9x4
2,52,48.49579132,116.1208496,1575,28,48.11186725,1752.477617,5746,21780,96.60765857,9x4
2,28,48.43530879,113.5121002,1785,28,48.03350551,1760.761874,5850,21807,96.4688143,9x4
2,64,48.35044036,119.2245941,1960,28,47.9665412,1748.726082,5834,21845,96.31698155,9x4
2,60,48.34152413,120.4311981,1610,28,47.94426123,1747.55878,5752,21849,96.28578536,9x4
2,60,48.30366685,442.4212952,4965,72,48.10289869,1714.964937,9836,21874,96.40656554,9x4
2,52,48.20817434,425.4517975,4742,68,47.98438008,1713.002945,9452,21914,96.19255442,9x4
2,32,48.19709505,464.4673309,4910,72,48.02903541,1715.960457,9759,21914,96.22613046,9x4
2,24,48.15504018,101.4352417,1325,28,47.77118526,1786.371311,6028,21933,95.92622545,9x4
2,44,48.23612403,103.8843536,1486,28,47.68511503,1761.852338,5908,21973,95.92123906,9x4
2,40,48.03371507,106.757309,1583,28,47.65429363,1793.891493,5979,21988,95.6880087,9x4
2,48,48.03371507,444.181778,5458,72,47.88198729,1743.092076,9861,21988,95.91570236,9x4
2,68,47.96998948,455.1423187,4999,72,47.83317114,1742.885758,10096,22028,95.80316062,9x4
2,24,46.43209494,68.03605652,702,24,46.01836826,1893.733445,6558,22741,92.4504632,9x4
2,56,47.11168605,67.50617981,688,24,45.97942002,1907.830404,6577,22762,93.09110607,9x4
2,44,48.75968387,67.80308533,852,24,45.9139718,1906.439608,6609,22792,94.67365567,9x4
2,48,48.73049723,67.54121399,659,24,45.90580387,1907.277747,6613,22793,94.6363011,9x4
2,64,46.32542523,67.68429565,786,24,45.91192954,1908.220409,6610,22793,92.23735477,9x4
2,60,48.08495149,67.81530762,682,24,45.89967983,1909.706613,6616,22799,93.98463131,9x4
2,40,46.31110326,67.59208679,761,24,45.89763885,1907.884285,6617,22800,92.20874211,9x4
2,52,48.08949108,67.92022705,625,24,45.84870963,1910.075583,6641,22824,93.93820072,9x4
2,68,47.89096894,67.76422119,681,24,45.7592765,1910.358352,6685,22868,93.65024544,9x4
2,72,47.89096894,67.76422119,681,24,45.7592765,1910.358352,6685,22868,93.65024544,9x4
2,36,48.9315657,72.20419312,821,24,45.75521965,1919.950428,6687,22870,94.68678535,9x4
2,28,46.16430395,67.99617004,621,24,45.74508066,1899.422898,6692,22872,91.90938461,9x4
2,32,46.10138492,65.30001831,755,24,45.68838527,1933.51516,6720,22903,91.78977019,9x4
2,68,49.79390255,178.6141146,2193,36,49.4155496,1754.376783,6719,60000,99.20945215,9x4
2,28,50.55083643,224.687912,2811,40,50.15753924,1703.2274,7333,60000,100.7083757,9x4
2,28,51.04795287,308.2214966,4086,52,50.97747926,1714.134146,8061,60000,102.0254321,9x4
2,48,49.47746898,372.1019287,4195,64,49.31874433,1732.723214,8821,60000,98.7962133,9x4
2,36,49.07685107,432.2778931,4856,68,49.78257934,1761.671301,8713,60000,98.85943041,9x4
2,24,47.67121295,433.5148315,5628,72,47.46801564,1737.320886,10077,60000,95.13922858,9x4
2,64,38.93565037,4265.309006,9569,24,48.93064707,1326.759254,5223,27091,87.86629744,5x4
2,40,38.86493699,4219.746918,9633,24,49.27636416,1323.278816,5084,27140,88.14130115,5x4
2,72,38.79878635,4295.888229,9655,24,48.66305219,1329.097408,5339,27186,87.46183854,5x4
2,68,38.76436229,4272.532913,9655,24,49.01429318,1324.049045,5188,27210,87.77865547,5x4
2,24,38.67001033,4292.998077,9705,24,48.90978014,1341.77367,5305,27276,87.57979046,5x4
2,32,38.56334817,4276.645264,9794,24,49.09589041,1328.927145,5164,27351,87.65923858,5x4
2,56,38.54350303,4246.445801,9884,24,49.1426395,1321.58586,5132,27365,87.68614253,5x4
2,28,38.4600939,4253.141998,9939,24,49.07488233,1325.280304,5166,27424,87.53497622,5x4
2,60,38.37985432,4285.186493,9937,24,49.0468995,1328.723571,5173,27481,87.42675383,5x4
2,48,38.32094434,4363.043335,9978,24,48.64241282,1330.669999,5387,27523,86.96335716,5x4
2,52,38.27478464,4259.12059,10029,24,49.18713367,1327.083953,5113,27556,87.46191831,5x4
2,44,38.15223403,4343.867569,10098,24,48.80109687,1339.240095,5338,27644,86.9533309,5x4
2,36,37.91769726,4325.782806,10273,24,48.66075806,1340.807726,5428,27814,86.57845532,5x4
2,48,36.28918498,5747.166565,12489,28,53.93134438,870.5328776,3580,29055,90.22052936,5x4
2,68,36.28541768,5706.009827,12498,28,54.10378446,868.3323103,3560,29058,90.38920214,5x4
2,36,36.25656098,5733.988663,12489,28,53.83289872,893.0918899,3634,29081,90.08945969,5x4
2,60,35.97049844,5740.466278,12691,28,53.7992286,897.5777995,3726,29311,89.76972704,5x4
2,56,35.96432981,5755.819763,12768,28,53.95389682,878.7715929,3533,29316,89.91822663,5x4
2,32,35.92859346,5753.470963,12774,28,53.99623352,872.7765997,3557,29345,89.92482698,5x4
2,40,35.8978432,5798.362686,12792,28,53.53137641,878.0249101,3607,29370,89.42921962,5x4
2,44,35.88064604,5783.290726,12781,28,53.84413146,879.5478051,3662,29384,89.7247775,5x4
2,72,35.86591873,5755.294647,12801,28,54.15772076,881.6990327,3584,29396,90.02363949,5x4
2,28,35.61860118,5806.030869,12981,28,54.08677426,874.523236,3637,29599,89.70537544,5x4
2,52,35.4176856,5823.533707,13137,28,53.66496829,894.9112258,3652,29766,89.08265389,5x4
2,24,35.17295049,5795.977417,13347,28,53.84132283,890.6157149,3677,29972,89.01427332,5x4
2,28,34.9118029,6583.61554,13630,32,54.72045804,771.5792566,4219,30195,89.63226094,5x4
2,48,34.88392827,6543.40741,13728,32,54.89506994,768.7620133,3982,30219,89.77899821,5x4
2,56,34.8688481,6599.090393,13857,32,55.41077947,748.8895864,3583,30232,90.27962757,5x4
2,32,34.82715557,6606.039917,13927,32,54.48361045,759.9816158,3988,30268,89.31076602,5x4
2,60,34.7994159,6609.633316,13974,32,55.72187433,722.0143229,3656,30292,90.52129023,5x4
2,36,34.75443306,6609.906784,13993,32,55.59282598,727.5511688,3575,30331,90.34725905,5x4
2,52,34.74291773,6703.013031,13916,32,55.14729925,747.6408265,3900,30341,89.89021698,5x4
2,40,34.73486153,6657.350204,13987,32,55.66177739,751.5440383,3650,30348,90.39663893,5x4
2,68,34.66710748,6710.851837,14090,32,56.01519509,718.4684245,3423,30407,90.68230258,5x4
2,72,34.62703917,6659.165863,13954,32,55.13551627,774.7505115,4055,30442,89.76255543,5x4
